1x,,,,,,,
,Sn, Sp,Acc, MCC, Pre, Recall, F-score
EGAAC(k=5),0.789166667,0.916666667,0.852916667,0.71370078,0.789166667,0.904300976,0.841018741
GDPC,0.879166667,0.981666667,0.930416667,0.86614147,0.879166667,0.979615029,0.926122029
GTPC,0.994166667,0.9975,0.995833333,0.991707703,0.994166667,0.997506771,0.995815812
TPC,1,0.990833333,0.995416667,0.990904911,1,0.990976502,0.995452788
GAAC,0.771666667,0.848333333,0.81,0.623547775,0.771666667,0.836033365,0.801267463
7x,,,,,,,
,Sn, Sp,Acc, MCC, Pre, Recall, F-score
AAC,0.995625,0.9775,0.9865625,0.973430252,0.995625,0.978127394,0.986726189
CKSAAP(k=2),1,0.996875,0.9984375,0.996899969,1,0.996924941,0.998450089
CKSAAP(k=3),1,0.996875,0.9984375,0.996899969,1,0.996924941,0.998450089
CKSAAP(k=4),1,0.995625,0.9978125,0.995672736,1,0.995720485,0.99783664
CKSAAP(k=5),1,0.995625,0.9978125,0.99566514,1,0.99570529,0.997832788
CKSAAP(k=6),1,0.99625,0.998125,0.996284365,1,0.99631874,0.998142379
CTriad(k=0),0.99125,0.99375,0.9925,0.985125259,0.99125,0.993841936,0.992481478
CTriad(k=1),0.99125,0.99375,0.9925,0.985125259,0.99125,0.993841936,0.992481478
CTriad(k=2),0.99125,0.99375,0.9925,0.985125259,0.99125,0.993841936,0.992481478
CTriad(k=3),0.99125,0.99375,0.9925,0.985125259,0.99125,0.993841936,0.992481478
CTriad(k=4),0.99125,0.99375,0.9925,0.985125259,0.99125,0.993841936,0.992481478
CTriad(k=5),0.99125,0.99375,0.9925,0.985125259,0.99125,0.993841936,0.992481478
DDE,0.994375,0.993125,0.99375,0.987549674,0.994375,0.993171391,0.993747764
DPC,1,0.9925,0.99625,0.992568871,1,0.992637758,0.996284794
CTDC,0.89625,0.885625,0.8909375,0.7831004,0.89625,0.888943304,0.891907068
CTDD,0.97125,0.97875,0.975,0.950144663,0.97125,0.978773752,0.974935528
CTDD,0.979375,0.97,0.9746875,0.949662317,0.979375,0.970633131,0.974860397
AAC_count,0.995,0.95375,0.974375,0.949750551,0.995,0.955944145,0.974984306
PAAC,0.990625,0.95125,0.9709375,0.94283338,0.990625,0.953486438,0.971587561
AAC+DPC,1,0.9925,0.99625,0.992576398,1,0.992652815,0.996288628
AAC+TPC,1,0.995,0.9975,0.995034626,1,0.995069255,0.997517445
CTD,0.950625,0.965,0.9578125,0.91602744,0.950625,0.964892636,0.957540262
EAAC(k=7),0.97125,0.93,0.950625,0.902316764,0.97125,0.933503836,0.951838525
EAAC(k=5),0.975,0.941875,0.9584375,0.917490338,0.975,0.944008646,0.959193531
EAAC(k=6),0.97375,0.94,0.956875,0.91444046,0.97375,0.942308648,0.957681578
EAAC(k=8),0.97,0.925625,0.9478125,0.896829391,0.97,0.929535292,0.949160623
EAAC(k=9),0.970625,0.9175,0.9440625,0.88974287,0.970625,0.922468946,0.945733931
EAAC(k=10),0.975,0.915,0.945,0.891918754,0.975,0.920543488,0.94681444
p_EAAC(k=7),0.99375,0.971875,0.9828125,0.965978943,0.99375,0.972712699,0.983056732
p_EAAC(k=5),0.996875,0.9725,0.9846875,0.969828363,0.996875,0.973475942,0.984953606
p_EAAC(k=6),0.99625,0.97125,0.98375,0.967925172,0.99625,0.972211062,0.984021304
p_EAAC(k=8),0.991875,0.971875,0.981875,0.964107831,0.991875,0.972716894,0.98211971
